Anio,Comunes,Elite,Recursos,Alimento
0.0,100.0,25.0,100.0,0.0
1.0,98.07265954905995,24.518164887264987,99.72617843074184,0.41250632968150397
2.0,99.53548927248221,24.883872318120552,99.62477704909932,0.7886979067106724
3.0,101.54623953600517,25.386559884001294,99.58199970324861,1.166426397386795
4.0,103.59760964931043,25.899402412327607,99.56055919650153,1.5516487055379502
5.0,105.69042018779528,26.42260504694882,99.54688162612354,1.9445752276463413
6.0,107.82550830357957,26.956377075894892,99.53595501579558,2.3453827585751195
7.0,110.00372806037988,27.50093201509497,99.52592608319492,2.7542373646326244
8.0,112.22595077514069,28.056487693785172,99.51610782649871,3.1713030329104304
9.0,114.49306536657997,28.623266341644992,99.50624396965593,3.5967449679642636
10.0,116.80597871075594,29.201494677688984,99.49623732112016,4.030730872593109
11.0,119.16561600384176,29.79140400096044,99.48604942577718,4.47343146977371
12.0,121.57292113223811,30.393230283059527,99.4756634701183,4.925020739412906
13.0,124.02885705007711,31.007214262519277,99.46507059810489,5.385676048077155
14.0,126.53440616460605,31.633601541151513,99.45426483256742,5.855578239401701
15.0,129.09057072940695,32.27264268235174,99.44324121332184,6.334911710200049
16.0,131.69837324235218,32.924593310588044,99.43199509949042,6.823864481508549
17.0,134.35885686147944,33.58971421536986,99.42052189934476,7.322628270491911
18.0,137.07308581561264,34.26827145390316,99.40881699894432,7.8313985600344465
19.0,139.8421458291404,34.9605364572851,99.39687570771694,8.35037467072001
20.0,142.66714456896105,35.66678614224026,99.38469324406263,8.8797598360882
21.0,145.54921206532194,36.387303016330485,99.37226474216673,9.419761272953416
22.0,148.48950119001512,37.12237529750378,99.35958522799754,9.970590261885096
23.0,151.48918809412666,37.872297023531665,99.34664963727138,10.53246221972451
24.0,154.54947269226312,38.63736817306578,99.3334527978706,11.105596780629604
25.0,157.6715791430507,39.41789478576268,99.3199894334891,11.69021787556739
26.0,160.8567563235157,40.214189080878924,99.30625416746156,12.286553810807106
27.0,164.10627835612414,41.026569589031034,99.29224150267882,12.894837355238574
28.0,167.42144508330642,41.855361270826606,99.2779458473625,13.515305817842066
29.0,170.80358262506093,42.70089565626523,99.2633614789016,14.148201140004815
30.0,174.25404387484951,43.56351096871238,99.24848257611292,14.793769975728104
31.0,177.77420906598186,44.443552266495466,99.23330318750345,15.452263784839696
32.0,181.36548631293127,45.34137157823282,99.21781724803878,16.123938920340812
33.0,185.0293121687779,46.25732804219447,99.20201857146775,16.809056719054492
34.0,188.76715222187946,47.191788055469864,99.18590083725107,17.507883598045687
35.0,192.580501646476,48.145125411619,99.1694576147857,18.22069114274002
36.0,196.4708858460813,49.117721461520325,99.15268231949067,18.947756211017047
37.0,200.4398610132526,50.10996525331315,99.1355682627475,19.6893610214008
38.0,204.4890148030509,51.12225370076273,99.11810859080077,20.44579326178816
